issue,file_a,review_uid_a,file_b,review_uid_b,review_text
within_file_duplicate_text,train,3740dac68d96052a,train,,**Review To Come**
within_file_duplicate_text,train,0861446207d93029,train,,**Review to Come**
within_file_duplicate_text,train,21a4792cd1a47058,train,,REVIEW TO COME
within_file_duplicate_text,train,a457de686647815a,train,,Review to come
within_file_duplicate_text,train,6cf024721bb86fc4,train,,Review to come :)
within_file_duplicate_text,train,1f3dc7a12060990f,train,,review to come :)
within_file_duplicate_text,train,2b4b567a8de53635,train,,Review to come!
within_file_duplicate_text,train,3c6a589e8f570b06,train,,Review To Come!
within_file_duplicate_text,train,d7b951a3eb2e1218,train,,Review To Come....
within_file_duplicate_text,train,a3df75dd62b73b0a,train,,Review to come....
within_file_duplicate_text,train,d622629a7720f355,train,,Review to follow
within_file_duplicate_text,train,0dac55ad053e0b6a,train,,review to follow
within_file_duplicate_text,holdout_real_reviews,9b9c346c49cb3772,holdout_real_reviews,,Review Coming soon...
within_file_duplicate_text,holdout_real_reviews,4fb8142b4ecd6009,holdout_real_reviews,,Review Coming Soon...
within_file_duplicate_text,holdout_real_reviews,fea88e745d558424,holdout_real_reviews,,Review coming soon...
within_file_duplicate_text,holdout_real_reviews,707754d672a45869,holdout_real_reviews,,Review to come soon...
within_file_duplicate_text,holdout_real_reviews,cc534fe92959b720,holdout_real_reviews,,Review to Come soon...
cross_file_duplicate_text,train,d143920b411f258e,test,2cf48e6980bff5ac,Actual Rating 3.5
cross_file_duplicate_text,train,21a4792cd1a47058,test,975bd4d887e6ae46,REVIEW TO COME
cross_file_duplicate_review_uid,train,019b3103ffb948a0,holdout_real_reviews,019b3103ffb948a0,"I am officially obsessed with Alexa Riley's books!! The Mechanic was a delicious, smutty, sizzling hot story with some of THE dirtiest talkers around. These books are like palate-cleansers in between the main course. Highly recommended!"
cross_file_duplicate_review_uid,train,4d7df2d47ab4b58f,holdout_real_reviews,4d7df2d47ab4b58f,"Not worth anywhere near $2. I say it should've been free. Anyways, I adore Ridley and Link and I may ship them more than Ethan and Lena now..."
